timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/04 03:04:18.884, NVIDIA GeForce RTX 4090, 91 %, 46 %, 19206 MiB, 49140 MiB, 402.32 W
2026/08/04 03:04:19.888, NVIDIA GeForce RTX 4090, 93 %, 42 %, 19206 MiB, 49140 MiB, 403.15 W
2026/08/04 03:04:20.889, NVIDIA GeForce RTX 4090, 95 %, 35 %, 19206 MiB, 49140 MiB, 406.60 W
2026/08/04 03:04:21.889, NVIDIA GeForce RTX 4090, 96 %, 33 %, 19206 MiB, 49140 MiB, 409.49 W
2026/08/04 03:04:22.889, NVIDIA GeForce RTX 4090, 97 %, 33 %, 19206 MiB, 49140 MiB, 406.57 W
2026/08/04 03:04:23.890, NVIDIA GeForce RTX 4090, 98 %, 36 %, 19206 MiB, 49140 MiB, 402.44 W
2026/08/04 03:04:24.890, NVIDIA GeForce RTX 4090, 98 %, 43 %, 19206 MiB, 49140 MiB, 404.47 W
2026/08/04 03:04:25.891, NVIDIA GeForce RTX 4090, 99 %, 48 %, 19206 MiB, 49140 MiB, 405.13 W
2026/08/04 03:04:26.891, NVIDIA GeForce RTX 4090, 99 %, 54 %, 19206 MiB, 49140 MiB, 406.25 W
2026/08/04 03:04:27.892, NVIDIA GeForce RTX 4090, 89 %, 49 %, 19206 MiB, 49140 MiB, 403.20 W
2026/08/04 03:04:28.896, NVIDIA GeForce RTX 4090, 86 %, 50 %, 19206 MiB, 49140 MiB, 404.02 W
2026/08/04 03:04:29.897, NVIDIA GeForce RTX 4090, 82 %, 47 %, 19206 MiB, 49140 MiB, 400.65 W
2026/08/04 03:04:30.897, NVIDIA GeForce RTX 4090, 89 %, 48 %, 19206 MiB, 49140 MiB, 399.74 W
2026/08/04 03:04:31.898, NVIDIA GeForce RTX 4090, 92 %, 45 %, 19206 MiB, 49140 MiB, 403.51 W
2026/08/04 03:04:32.898, NVIDIA GeForce RTX 4090, 93 %, 40 %, 19206 MiB, 49140 MiB, 402.31 W
2026/08/04 03:04:33.904, NVIDIA GeForce RTX 4090, 95 %, 35 %, 19206 MiB, 49140 MiB, 403.52 W
2026/08/04 03:04:34.905, NVIDIA GeForce RTX 4090, 96 %, 33 %, 19206 MiB, 49140 MiB, 407.52 W
2026/08/04 03:04:35.905, NVIDIA GeForce RTX 4090, 97 %, 32 %, 19206 MiB, 49140 MiB, 407.82 W
2026/08/04 03:04:36.905, NVIDIA GeForce RTX 4090, 97 %, 34 %, 19206 MiB, 49140 MiB, 404.44 W
2026/08/04 03:04:37.906, NVIDIA GeForce RTX 4090, 98 %, 35 %, 19206 MiB, 49140 MiB, 405.31 W
2026/08/04 03:04:38.907, NVIDIA GeForce RTX 4090, 98 %, 42 %, 19206 MiB, 49140 MiB, 404.28 W
2026/08/04 03:04:39.907, NVIDIA GeForce RTX 4090, 99 %, 46 %, 19206 MiB, 49140 MiB, 404.44 W
2026/08/04 03:04:40.908, NVIDIA GeForce RTX 4090, 96 %, 33 %, 19206 MiB, 49140 MiB, 398.05 W
2026/08/04 03:04:41.909, NVIDIA GeForce RTX 4090, 98 %, 33 %, 19206 MiB, 49140 MiB, 406.76 W
2026/08/04 03:04:42.910, NVIDIA GeForce RTX 4090, 97 %, 35 %, 19206 MiB, 49140 MiB, 405.96 W
2026/08/04 03:04:43.910, NVIDIA GeForce RTX 4090, 98 %, 38 %, 19206 MiB, 49140 MiB, 405.17 W
2026/08/04 03:04:44.912, NVIDIA GeForce RTX 4090, 98 %, 45 %, 19206 MiB, 49140 MiB, 405.00 W
2026/08/04 03:04:45.912, NVIDIA GeForce RTX 4090, 99 %, 50 %, 19206 MiB, 49140 MiB, 405.57 W
2026/08/04 03:04:46.916, NVIDIA GeForce RTX 4090, 94 %, 54 %, 19206 MiB, 49140 MiB, 404.22 W
2026/08/04 03:04:47.917, NVIDIA GeForce RTX 4090, 90 %, 54 %, 19206 MiB, 49140 MiB, 405.88 W
2026/08/04 03:04:48.924, NVIDIA GeForce RTX 4090, 88 %, 51 %, 19206 MiB, 49140 MiB, 404.57 W
2026/08/04 03:04:49.925, NVIDIA GeForce RTX 4090, 92 %, 47 %, 19206 MiB, 49140 MiB, 404.16 W
2026/08/04 03:04:50.925, NVIDIA GeForce RTX 4090, 92 %, 50 %, 19206 MiB, 49140 MiB, 391.73 W
2026/08/04 03:04:51.925, NVIDIA GeForce RTX 4090, 89 %, 45 %, 19206 MiB, 49140 MiB, 404.15 W
2026/08/04 03:04:52.928, NVIDIA GeForce RTX 4090, 94 %, 39 %, 19206 MiB, 49140 MiB, 404.91 W
2026/08/04 03:04:53.930, NVIDIA GeForce RTX 4090, 95 %, 35 %, 19206 MiB, 49140 MiB, 406.10 W
2026/08/04 03:04:54.930, NVIDIA GeForce RTX 4090, 96 %, 32 %, 19206 MiB, 49140 MiB, 407.48 W
2026/08/04 03:04:55.930, NVIDIA GeForce RTX 4090, 97 %, 33 %, 19206 MiB, 49140 MiB, 407.10 W
2026/08/04 03:04:56.931, NVIDIA GeForce RTX 4090, 96 %, 34 %, 19206 MiB, 49140 MiB, 405.82 W
2026/08/04 03:04:57.932, NVIDIA GeForce RTX 4090, 99 %, 41 %, 19206 MiB, 49140 MiB, 408.47 W
2026/08/04 03:04:58.936, NVIDIA GeForce RTX 4090, 99 %, 49 %, 19206 MiB, 49140 MiB, 406.14 W
2026/08/04 03:04:59.937, NVIDIA GeForce RTX 4090, 99 %, 54 %, 19206 MiB, 49140 MiB, 408.24 W
2026/08/04 03:05:00.938, NVIDIA GeForce RTX 4090, 87 %, 52 %, 19206 MiB, 49140 MiB, 403.67 W
2026/08/04 03:05:01.938, NVIDIA GeForce RTX 4090, 85 %, 48 %, 19206 MiB, 49140 MiB, 403.44 W
2026/08/04 03:05:02.939, NVIDIA GeForce RTX 4090, 87 %, 48 %, 19206 MiB, 49140 MiB, 402.80 W
